361.3,7.29
361,7.19
361,7.1
360.5,7
360,6.91
358.5,6.8
357.5,6.7
357,6.6
357,6.51
356.5,6.41
356.5,6.31
356,6.2
355,6.11
354.5,6.01
353,5.91
352.5,5.81
351.5,5.72
349.5,5.6
348,5.51
345.25,5.4
342.5,5.51
338,5.6
333,5.72
328.5,5.81
322,5.91
316,6.01
311,6.11
305,6.2
297.5,6.31
293,6.41
289.5,6.51
284.5,6.6
280,6.7
276.5,6.8
272.5,6.91
270,7
264,7.1
260.5,7.19
258,7.29
253,7.41
249,7.51
245.5,7.6
241,7.71
237,7.81
232,7.91
228.5,8.01
224.5,8.09
219.5,8.21
215.5,8.31
212.5,8.4
207,8.5
201.5,8.61
196.5,8.7
192.5,8.81
189,8.89
184.5,9
180,9.1
176,9.21
172,9.31
167,9.4
161.5,9.51
157,9.6
151,9.71
147.5,9.81
143,9.91
139,10.02
130.5,10.21
123.5,10.39
113,10.61
104,10.81
94,11.01
85.5,11.21
79.5,11.41
71.5,11.59
63.5,11.8
57.5,12
48,12.19
37.5,12.4
29,12.6
21.5,12.79
14,12.99
6.5,13.2
1,13.39
0,13.6
