357,7.1
344,7
344,6.91
344,6.8
344,6.7
344,6.6
344,6.51
344,6.41
343,6.31
343,6.2
343,6.11
343,6.01
343,5.91
342,5.81
340,5.72
338,5.6
336,5.51
337,5.6
331,5.72
324,5.81
320,5.91
314,6.01
309,6.11
303,6.2
297,6.31
292,6.41
288,6.51
284,6.6
279,6.7
273,6.8
270,6.91
268,7
259,7.1
256,7.19
252,7.29
245,7.41
242,7.51
238,7.6
234,7.71
228,7.81
225,7.91
219,8.01
201,8.09
200,8.21
199,8.31
199,8.4
198,8.5
192,8.61
189,8.7
186,8.81
179,8.89
174,9
170,9.1
166,9.21
161,9.31
155,9.4
151,9.51
147,9.6
142,9.71
138,9.81
134,9.91
130,10.02
122,10.21
115,10.39
106,10.61
94,10.81
82,11.01
76,11.21
70,11.41
64,11.59
56,11.8
49,12
38,12.19
30,12.4
20,12.6
12,12.79
10,12.99
2,13.2
